tiempo, long, tipoB, OS , lng,tamTexto 
0.0022590160369873,5,2,6,4,1
0.000936985015869141,20,2,6,4,1
0.000887870788574219,20,2,6,4,1
0.0010378360748291,20,2,6,4,1
0.000928878784179688,18,2,6,4,1
0.00101470947265625,11,2,6,4,1
0.00129294395446777,5,2,6,4,1
0.000827789306640625,22,2,6,4,1
0.000885009765625,26,2,6,4,1
0.00946593284606934,1,2,6,4,1
0.00187492370605469,3,2,6,4,1
0.000961065292358398,22,2,6,4,1
0.000980138778686523,19,2,6,4,1
0.000836849212646484,29,2,6,4,1
0.00102519989013672,14,2,6,4,1
0.00152707099914551,17,2,6,4,1
0.00143313407897949,4,2,6,4,1
0.000997066497802734,9,2,6,4,1
0.00128865242004395,5,2,6,4,1
0.00176405906677246,3,2,6,4,1
0.000905990600585938,13,2,6,4,1
0.000889778137207031,16,2,6,4,1
0.00116991996765137,7,2,6,4,1
0.000900030136108398,23,2,6,4,1
0.00134682655334473,5,2,6,4,1
0.00127911567687988,7,2,6,4,1
0.000962018966674805,17,2,6,4,1
0.00126314163208008,7,2,6,4,1
0.0010068416595459,16,2,6,4,1
0.00110101699829102,13,2,6,4,1
0.0092921257019043,1,2,6,4,1
0.00104498863220215,24,2,6,4,1
0.000962018966674805,26,2,6,4,1
0.0019221305847168,2,2,6,4,1
0.00103092193603516,25,2,6,4,1
0.00126886367797852,10,2,6,4,1
0.000944137573242188,20,2,6,4,1
0.00106930732727051,9,2,6,4,1
0.00101423263549805,18,2,6,4,1
0.00101971626281738,12,2,6,4,1
0.00148701667785645,4,2,6,4,1
0.000937223434448242,16,2,6,4,1
0.001007080078125,13,2,6,4,1
0.000858068466186523,21,2,6,4,1
0.00107812881469727,7,2,6,4,1
0.000844955444335938,22,2,6,4,1
0.00109410285949707,9,2,6,4,1
0.000919103622436523,28,2,6,4,1
0.00192880630493164,2,2,6,4,1
0.00105500221252441,12,2,6,4,1
0.000966787338256836,26,2,6,4,1
0.00113391876220703,10,2,6,4,1
0.000949859619140625,15,2,6,4,1
0.000960111618041992,16,2,6,4,1
0.00117397308349609,7,2,6,4,1
0.000911951065063477,28,2,6,4,1
0.00152397155761719,4,2,6,4,1
0.00149822235107422,4,2,6,4,1
0.00099492073059082,13,2,6,4,1
0.000940084457397461,19,2,6,4,1
0.00109100341796875,16,2,6,4,1
0.000911951065063477,28,2,6,4,1
0.000851154327392578,25,2,6,4,1
0.000999212265014648,26,2,6,4,1
0.00104188919067383,11,2,6,4,1
0.00106406211853027,30,2,6,4,1
0.00100088119506836,23,2,6,4,1
0.000855922698974609,25,2,6,4,1
0.00110387802124023,9,2,6,4,1
0.00151610374450684,4,2,6,4,1
0.00906991958618164,1,2,6,4,1
0.000925064086914062,19,2,6,4,1
0.00101613998413086,12,2,6,4,1
0.00102996826171875,11,2,6,4,1
0.00096583366394043,27,2,6,4,1
0.00092768669128418,17,2,6,4,1
0.000957012176513672,24,2,6,4,1
0.00108003616333008,7,2,6,4,1
0.000953912734985352,26,2,6,4,1
0.00145077705383301,5,2,6,4,1
0.000957012176513672,16,2,6,4,1
0.0012671947479248,6,2,6,4,1
0.000900983810424805,29,2,6,4,1
0.00147485733032227,10,2,6,4,1
0.000941991806030273,25,2,6,4,1
0.0012359619140625,17,2,6,4,1
0.00148200988769531,13,2,6,4,1
0.00151991844177246,4,2,6,4,1
0.00214004516601562,4,2,6,4,1
0.000951051712036133,19,2,6,4,1
0.00158190727233887,29,2,6,4,1
0.00225090980529785,2,2,6,4,1
0.00152277946472168,4,2,6,4,1
0.000910043716430664,27,2,6,4,1
0.00106596946716309,10,2,6,4,1
0.00116109848022461,15,2,6,4,1
0.000967025756835938,15,2,6,4,1
0.000903129577636719,13,2,6,4,1
0.000851869583129883,29,2,6,4,1
0.0012660026550293,6,2,6,4,1
0.000949382781982422,18,2,6,4,1
0.00114202499389648,18,2,6,4,1
0.000901937484741211,29,2,6,4,1
0.00124812126159668,6,2,6,4,1
0.00107979774475098,27,2,6,4,1
0.000933170318603516,24,2,6,4,1
0.00907611846923828,1,2,6,4,1
0.000897884368896484,30,2,6,4,1
0.00148987770080566,4,2,6,4,1
0.000926733016967773,24,2,6,4,1
0.00168395042419434,4,2,6,4,1
0.000924825668334961,26,2,6,4,1
0.00110292434692383,8,2,6,4,1
0.00207662582397461,6,2,6,4,1
0.000919103622436523,26,2,6,4,1
0.00089573860168457,30,2,6,4,1
0.000884056091308594,17,2,6,4,1
0.000958919525146484,13,2,6,4,1
0.000924110412597656,11,2,6,4,1
0.000895023345947266,13,2,6,4,1
0.000857114791870117,22,2,6,4,1
0.000931024551391602,14,2,6,4,1
0.000944137573242188,28,2,6,4,1
0.000921964645385742,22,2,6,4,1
0.000911951065063477,27,2,6,4,1
0.00928902626037598,1,2,6,4,1
0.00112414360046387,8,2,6,4,1
0.00102496147155762,12,2,6,4,1
0.000952005386352539,22,2,6,4,1
0.000919103622436523,28,2,6,4,1
0.000974178314208984,15,2,6,4,1
0.00934910774230957,1,2,6,4,1
0.000974893569946289,14,2,6,4,1
0.00101304054260254,18,2,6,4,1
0.000985145568847656,28,2,6,4,1
0.0012660026550293,7,2,6,4,1
0.00137710571289062,7,2,6,4,1
0.00101017951965332,26,2,6,4,1
0.00105500221252441,18,2,6,4,1
0.00141000747680664,5,2,6,4,1
0.000954151153564453,18,2,6,4,1
0.000965356826782227,16,2,6,4,1
0.00137186050415039,5,2,6,4,1
0.00106215476989746,10,2,6,4,1
0.00122594833374023,8,2,6,4,1
0.00122904777526855,10,2,6,4,1
0.00107383728027344,27,2,6,4,1
0.0013730525970459,5,2,6,4,1
0.00112199783325195,12,2,6,4,1
0.00125980377197266,9,2,6,4,1
0.000933170318603516,24,2,6,4,1
0.00139808654785156,5,2,6,4,1
0.000937938690185547,17,2,6,4,1
0.000903844833374023,27,2,6,4,1
0.0016791820526123,3,2,6,4,1
0.00114202499389648,7,2,6,4,1
0.00130772590637207,29,2,6,4,1
0.00128698348999023,25,2,6,4,1
0.0011749267578125,22,2,6,4,1
0.00130701065063477,22,2,6,4,1
0.00144100189208984,22,2,6,4,1
0.00112009048461914,19,2,6,4,1
0.00104713439941406,18,2,6,4,1
0.00105023384094238,19,2,6,4,1
0.00130319595336914,8,2,6,4,1
0.00122499465942383,25,2,6,4,1
0.0010678768157959,12,2,6,4,1
0.00115203857421875,12,2,6,4,1
0.00119590759277344,27,2,6,4,1
0.0012199878692627,9,2,6,4,1
0.00113320350646973,15,2,6,4,1
0.0023040771484375,5,2,6,4,1
0.00129270553588867,10,2,6,4,1
0.00125288963317871,17,2,6,4,1
0.00127005577087402,12,2,6,4,1
0.00154805183410645,13,2,6,4,1
0.00119113922119141,15,2,6,4,1
0.00139212608337402,27,2,6,4,1
0.00117111206054688,27,2,6,4,1
0.00100803375244141,22,2,6,4,1
0.00105190277099609,13,2,6,4,1
0.000957965850830078,18,2,6,4,1
0.000962972640991211,12,2,6,4,1
0.00191211700439453,3,2,6,4,1
0.00156188011169434,20,2,6,4,1
0.000924825668334961,14,2,6,4,1
0.00110220909118652,23,2,6,4,1
0.00100088119506836,12,2,6,4,1
0.00102901458740234,11,2,6,4,1
0.00125527381896973,13,2,6,4,1
0.0012056827545166,17,2,6,4,1
0.00142717361450195,6,2,6,4,1
0.00125598907470703,17,2,6,4,1
0.00963902473449707,1,2,6,4,1
0.00130105018615723,8,2,6,4,1
0.00160789489746094,4,2,6,4,1
0.00152492523193359,5,2,6,4,1
0.00125908851623535,29,2,6,4,1
0.00108504295349121,11,2,6,4,1
0.00125694274902344,9,2,6,4,1
0.00111722946166992,22,2,6,4,1
0.00131607055664062,9,2,6,4,1
0.00133109092712402,26,2,6,4,1
0.00116109848022461,15,2,6,4,1
0.00116419792175293,9,2,6,4,1
0.00127911567687988,12,2,6,4,1
0.000926017761230469,25,2,6,4,1
0.000913858413696289,25,2,6,4,1
0.00939607620239258,1,2,6,4,1
0.00103116035461426,13,2,6,4,1
0.00107502937316895,10,2,6,4,1
0.000823974609375,27,2,6,4,1
0.000917911529541016,24,2,6,4,1
0.00114989280700684,24,2,6,4,1
0.00108003616333008,21,2,6,4,1
0.000944137573242188,17,2,6,4,1
0.00171089172363281,3,2,6,4,1
0.00101804733276367,10,2,6,4,1
0.000934123992919922,23,2,6,4,1
0.00190901756286621,2,2,6,4,1
0.00115227699279785,19,2,6,4,1
0.000939369201660156,30,2,6,4,1
0.00107598304748535,9,2,6,4,1
0.000913858413696289,12,2,6,4,1
0.000891685485839844,27,2,6,4,1
0.000947952270507812,20,2,6,4,1
0.000931024551391602,12,2,6,4,1
0.000872135162353516,18,2,6,4,1
0.000840902328491211,29,2,6,4,1
0.000898122787475586,14,2,6,4,1
0.00167679786682129,3,2,6,4,1
0.00104308128356934,15,2,6,4,1
0.000895023345947266,18,2,6,4,1
0.000847101211547852,21,2,6,4,1
0.00117301940917969,7,2,6,4,1
0.00114202499389648,8,2,6,4,1
0.000854969024658203,21,2,6,4,1
0.00112080574035645,10,2,6,4,1
0.00102114677429199,20,2,6,4,1
0.00122880935668945,9,2,6,4,1
0.00101017951965332,11,2,6,4,1
0.000982046127319336,29,2,6,4,1
0.000902891159057617,20,2,6,4,1
0.0010077953338623,13,2,6,4,1
0.000874042510986328,26,2,6,4,1
0.0016779899597168,3,2,6,4,1
0.000818252563476562,22,2,6,4,1
0.00120377540588379,17,2,6,4,1
0.00156307220458984,5,2,6,4,1
0.000876188278198242,29,2,6,4,1
0.000884056091308594,16,2,6,4,1
0.00117278099060059,6,2,6,4,1
0.0018460750579834,2,2,6,4,1
0.00179409980773926,3,2,6,4,1
0.000855922698974609,29,2,6,4,1
0.000868082046508789,18,2,6,4,1
0.00107169151306152,13,2,6,4,1
0.000993967056274414,14,2,6,4,1
0.000852823257446289,18,2,6,4,1
0.00133490562438965,6,2,6,4,1
0.000970840454101562,20,2,6,4,1
0.0010221004486084,9,2,6,4,1
0.000873088836669922,26,2,6,4,1
0.000900030136108398,22,2,6,4,1
0.000946044921875,12,2,6,4,1
0.000907182693481445,18,2,6,4,1
0.000970840454101562,14,2,6,4,1
0.000957012176513672,10,2,6,4,1
0.00101304054260254,10,2,6,4,1
0.000875949859619141,17,2,6,4,1
0.00114798545837402,8,2,6,4,1
0.000921010971069336,17,2,6,4,1
0.00108790397644043,19,2,6,4,1
0.00126099586486816,28,2,6,4,1
0.0011589527130127,23,2,6,4,1
0.00096583366394043,15,2,6,4,1
0.00127005577087402,7,2,6,4,1
0.000875711441040039,28,2,6,4,1
0.000972986221313477,13,2,6,4,1
0.00156688690185547,5,2,6,4,1
0.000984907150268555,14,2,6,4,1
0.00090479850769043,18,2,6,4,1
0.00088191032409668,25,2,6,4,1
0.000932931900024414,19,2,6,4,1
0.000984907150268555,17,2,6,4,1
0.00127792358398438,8,2,6,4,1
0.00123810768127441,6,2,6,4,1
0.000864982604980469,29,2,6,4,1
0.000986099243164062,14,2,6,4,1
0.00110316276550293,9,2,6,4,1
0.00084996223449707,24,2,6,4,1
0.00196599960327148,2,2,6,4,1
0.00107812881469727,10,2,6,4,1
0.000973224639892578,27,2,6,4,1
0.00085902214050293,29,2,6,4,1
0.00122594833374023,12,2,6,4,1
0.00108718872070312,21,2,6,4,1
0.000910043716430664,20,2,6,4,1
0.00086522102355957,24,2,6,4,1
0.00918006896972656,1,2,6,4,1
0.000947952270507812,15,2,6,4,1
0.00189900398254395,2,2,6,4,1
0.000958919525146484,24,2,6,4,1
0.00101685523986816,26,2,6,4,1
0.000891685485839844,28,2,6,4,1
0.0012812614440918,8,2,6,4,1
0.00137209892272949,5,2,6,4,1
0.00115704536437988,20,2,6,4,1
0.000988960266113281,19,2,6,4,1
0.000926971435546875,23,2,6,4,1
0.000891208648681641,22,2,6,4,1
0.00107216835021973,8,2,6,4,1
0.00100898742675781,17,2,6,4,1
0.000905036926269531,21,2,6,4,1
0.000993013381958008,15,2,6,4,1
0.00111293792724609,7,2,6,4,1
0.000939130783081055,22,2,6,4,1
0.000852823257446289,19,2,6,4,1
0.00185608863830566,2,2,6,4,1
0.000830888748168945,24,2,6,4,1
0.00085902214050293,18,2,6,4,1
0.000892877578735352,14,2,6,4,1
0.000997066497802734,23,2,6,4,1
0.000961065292358398,17,2,6,4,1
0.000816106796264648,23,2,6,4,1
0.00117969512939453,24,2,6,4,1
0.00124478340148926,11,2,6,4,1
0.00199389457702637,3,2,6,4,1
0.00113487243652344,13,2,6,4,1
0.00150489807128906,5,2,6,4,1
0.00124788284301758,27,2,6,4,1
0.00114178657531738,14,2,6,4,1
0.0012059211730957,15,2,6,4,1
0.00113630294799805,16,2,6,4,1
0.0012669563293457,10,2,6,4,1
0.0012657642364502,14,2,6,4,1
0.00118207931518555,15,2,6,4,1
0.00127005577087402,26,2,6,4,1
0.000912904739379883,29,2,6,4,1
0.00118398666381836,14,2,6,4,1
0.000941991806030273,19,2,6,4,1
0.000900983810424805,17,2,6,4,1
0.00103926658630371,12,2,6,4,1
0.000869035720825195,25,2,6,4,1
0.00112199783325195,14,2,6,4,1
0.000925064086914062,22,2,6,4,1
0.00130581855773926,6,2,6,4,1
0.00173020362854004,28,2,6,4,1
0.000883817672729492,30,2,6,4,1
0.000975131988525391,15,2,6,4,1
0.00100898742675781,11,2,6,4,1
0.000934839248657227,13,2,6,4,1
0.00103497505187988,9,2,6,4,1
0.00143074989318848,4,2,6,4,1
0.000977754592895508,9,2,6,4,1
0.00110125541687012,9,2,6,4,1
0.000979900360107422,17,2,6,4,1
0.000982999801635742,10,2,6,4,1
0.00184893608093262,2,2,6,4,1
0.000946044921875,11,2,6,4,1
0.000887155532836914,24,2,6,4,1
0.000941753387451172,29,2,6,4,1
0.000882148742675781,24,2,6,4,1
0.000930070877075195,23,2,6,4,1
0.00142478942871094,6,2,6,4,1
0.000931262969970703,27,2,6,4,1
0.000856876373291016,28,2,6,4,1
0.00112605094909668,28,2,6,4,1
0.00101709365844727,15,2,6,4,1
0.000930070877075195,27,2,6,4,1
0.00109004974365234,11,2,6,4,1
0.000988960266113281,18,2,6,4,1
0.000993013381958008,10,2,6,4,1
0.00101995468139648,22,2,6,4,1
0.000931978225708008,22,2,6,4,1
0.00104904174804688,8,2,6,4,1
0.00086212158203125,14,2,6,4,1
0.00113105773925781,7,2,6,4,1
0.00179576873779297,3,2,6,4,1
0.000938892364501953,18,2,6,4,1
0.000967025756835938,28,2,6,4,1
0.00152707099914551,18,2,6,4,1
0.00117087364196777,18,2,6,4,1
0.000936985015869141,27,2,6,4,1
