Clase,Sexo,Edad,Sobrevivio,V6
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Masculino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
3rd,Femenino,Menor,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
1st,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
